GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
SIT	s ɛ w - ɾ ə	s ɛ w ɾ ə	ɛː t ʁ ə + a s i	ɛː t ʁ ə + a s i	- s t a r e + s e - d u t o	s t a r e + s e d u t o	s ɛ d eː r ɛ	s ɛ d eː r ɛ	i ʃ t a r ʃ ẽ t a ð u	i ʃ t a r ʃ ẽ t a ð u	ʃ e d e - a	ʃ e d e a	e s t a ɾ - + s e n t a ð o	e s t a ɾ + s e n t a ð o
SIT_DOWN	ə s ə w ɾ ə s	ə s ə w ɾ ə s	s a s w aː ʁ	s a s w aː ʁ	s e - d e r z i	s e d e r z i	k õː s iː d ɛ r ɛ	k õː s iː d ɛ r ɛ	s ẽ - t a r s ə	s ẽ t a r s ə	s e + a ʃ e z a	s e + a ʃ e z a	s e n t a ɾ s e	s e n t a ɾ s e
SIX	s i - s	s i s	s i - s	s i s	s e i -	s e i	s ɛ k s	s ɛ k s	s e j ʃ	s e j ʃ	ʃ a s e	ʃ a s e	s e i s	s e i s
SIXTY	s - ə - ʃ a - - n̪ t̪ ə	s ə ʃ a n̪ t̪ ə	s w a - s ɑ̃ː - - - t -	s w a s ɑ̃ː t	s - e - sː a - - n t a	s e sː a n t a	s - ɛ k s aː g ɪ n t aː	s ɛ k s aː g ɪ n t aː	s - ə - s ẽ - - - t ɐ	s ə s ẽ t ɐ	ʃ a j z e tʃʲ	ʃ a j z e tʃʲ	s - e - s e - - n t a	s e s e n t a
SIZE_(OF_OBJECT)	g ɾ ə n ð a ɾ i a	g ɾ ə n ð a ɾ i a	g ʁ ɑ̃ d œː ʁ	g ʁ ɑ̃ d œː ʁ	g r a n d e t ts a	g r a n d e t ts a	m aː ŋ n ɪ t uː d oː	m aː ŋ n ɪ t uː d oː	t a m a ɲ u	t a m a ɲ u	m ə r i m e	m ə r i m e	t a m a ɲ o	t a m a ɲ o
SKI	ə s k i	ə s k i	- s k i	s k i	ʃ i	ʃ i	n a r t a	n a r t a	i ʃ k i	i ʃ k i	- s kʲ -	s kʲ	e s k i	e s k i
SKIN	p - ɛ ʎ - -	p ɛ ʎ	p o	p o	p - e lː e -	p e lː e	p - ɛ lː ɪ s	p ɛ lː ɪ s	p - ɛ l ə -	p ɛ l ə	p j e l e -	p j e l e	p j e l - -	p j e l
SKIN_(OF_FRUIT)	k lˠ ɔ s k - - ə	k lˠ ɔ s k ə	p ə l yː ʁ	p ə l yː ʁ	b u t tʃ a	b u t tʃ a	p ʊ t aː m ɛ n	p ʊ t aː m ɛ n	k - a ʃ k - - a	k a ʃ k a	k o a ʒ ə	k o a ʒ ə	k - a s k a ɾ a	k a s k a ɾ a
SKY	s - ɛ lˠ m	s ɛ lˠ m	s j ɛ l -	s j ɛ l	tʃ - ɛ l o	tʃ ɛ l o	k a ɛ lˠ ʊ̃	k a ɛ lˠ ʊ̃	s ɛ w	s ɛ w	tʃ e r	tʃ e r	θ j e l o	θ j e l o
SLAB	p lˠ a - k ə	p lˠ a k ə	p l a - k -	p l a k	p i a s t r a	p i a s t r a	lˠ aː m ɪ n a	lˠ aː m ɪ n a	ʃ a p a	ʃ a p a	p l a - k ə	p l a k ə	p l a n tʃ a	p l a n tʃ a
SLED	t̪ ɾ i n ɛ - w	t̪ ɾ i n ɛ w	t ʁ ɛ n - o -	t ʁ ɛ n o	s - l i tː - a	s l i tː a	s k lˠ ɔ d ɪ a	s k lˠ ɔ d ɪ a	t r e n - o -	t r e n o	s a n j e	s a n j e	t ɾ i n e o -	t ɾ i n e o
SLEEP	d̪ u ɾ m - - i	d̪ u ɾ m i	d ɔ ʁ m iː ʁ -	d ɔ ʁ m iː ʁ	d o r m i r e	d o r m i r e	d ɔ r m iː r ɛ	d ɔ r m iː r ɛ	d u r m i r -	d u r m i r	d o r mʲ - - -	d o r mʲ	d o ɾ m i ɾ -	d o ɾ m i ɾ
SLEEP_(STATE)	s - ɔ - n - -	s ɔ n	s ɔ m ɛ j	s ɔ m ɛ j	s - o - nː o -	s o nː o	s - ɔ m n ʊ s	s ɔ m n ʊ s	s - o - n u -	s o n u	s - o m n - -	s o m n	s w e - ɲ o -	s w e ɲ o
SLEEVE	m a n i ɣ ə	m a n i ɣ ə	m ɑ̃ː ʃ	m ɑ̃ː ʃ	m a n i k a	m a n i k a	m a n ɪ k a	m a n ɪ k a	m ɐ̃ - - g ɐ	m ɐ̃ g ɐ	m ɨ n e k ə	m ɨ n e k ə	m a ŋ - g a	m a ŋ g a
SLICE	ʎ ɛ s k ə	ʎ ɛ s k ə	t ʁ ɑ̃ː ʃ	t ʁ ɑ̃ː ʃ	t r a n tʃ a	t r a n tʃ a	f r uː s t ʊ̃	f r uː s t ʊ̃	f ɐ t i ɐ	f ɐ t i ɐ	b u k a t ə	b u k a t ə	ɾ e β a n a ð a	ɾ e β a n a ð a
SLOPE	- k - u s t ɛ	k u s t ɛ	v ɛ ʁ s ɑ̃ - -	v ɛ ʁ s ɑ̃	p e n d i o	p e n d i o	d eː k l iː w ʊ̃	d eː k l iː w ʊ̃	ẽ k - o ʃ t a	ẽ k o ʃ t a	v e r s a n t	v e r s a n t	d e k l i β e	d e k l i β e
SMALL	p ə t̪ i t̪	p ə t̪ i t̪	p ə t i -	p ə t i	p i kː o l o	p i kː o l o	p a r w ʊ s	p a r w ʊ s	p ə k e n u	p ə k e n u	m i k	m i k	p e k e ɲ o	p e k e ɲ o
SMELL_(PERCEIVE)	u lˠ u ɾ a	u lˠ u ɾ a	s ɑ̃ - t iː ʁ -	s ɑ̃ t iː ʁ	s e n t i r e	s e n t i r e	ɔ lˠ f a k ɛ r ɛ	ɔ lˠ f a k ɛ r ɛ	ʃ e j r a r	ʃ e j r a r	m i r o sʲ	m i r o sʲ	o l e ɾ	o l e ɾ
SMOKE_(EMIT_SMOKE)	f u m ə ʒ a - -	f u m ə ʒ a	f y m - - e - -	f y m e	f u m - - a r e	f u m a r e	f uː m - - aː r ɛ	f uː m aː r ɛ	f u m e ɣ a r -	f u m e ɣ a r	f u m - - a - -	f u m a	e tʃ a ɾ + w m o	e tʃ a ɾ + w m o
SMOKE_(EXHAUST)	f u m - - - - -	f u m	f y m - - e - -	f y m e	f u m - - o - -	f u m o	f uː m ʊ s - - -	f uː m ʊ s	f u m - - u - -	f u m u	f u m - - - - -	f u m	w m o	w m o
SMOOTH	ʎ i - s -	ʎ i s	l i - s -	l i s	l i - ʃː o	l i ʃː o	lˠ eː w ɪ s	lˠ eː w ɪ s	l i - ʃ u	l i ʃ u	l i n s -	l i n s	l i - s o	l i s o
SNAKE	s ɛ ɾ p - - - - -	s ɛ ɾ p	s ɛ ʁ p - - - - ɑ̃	s ɛ ʁ p ɑ̃	s e r p - e n t e	s e r p e n t e	s ɛ r p - ẽː - s -	s ɛ r p ẽː s	ʃ e r p - ẽ - t e	ʃ e r p ẽ t e	ʃ a r p - - - - e	ʃ a r p e	s e ɾ p j e n t e	s e ɾ p j e n t e
SNOW	n - ɛ w -	n ɛ w	n ɛː - ʒ	n ɛː ʒ	n - e v e	n e v e	n ɪ k s	n ɪ k s	n - ɛ v ə	n ɛ v ə	z ə p a d ə	z ə p a d ə	n j e β e	n j e β e
SOFT	t̪ ɔ w	t̪ ɔ w	m u	m u	m o - lː e -	m o lː e	m ɔ - lː ɪ s	m ɔ lː ɪ s	m ɔ - l ə -	m ɔ l ə	m o a l e -	m o a l e	m w e ʝ e	m w e ʝ e
SOLID	s ɔ lˠ i t̪ - -	s ɔ lˠ i t̪	s ɔ l i d - -	s ɔ l i d	f i sː o	f i sː o	s t a b ɪ lˠ ɪ s	s t a b ɪ lˠ ɪ s	s ɔ l i ð u -	s ɔ l i ð u	s o l i d - -	s o l i d	s o l i ð o -	s o l i ð o
SOMETIMES	d̪ ə - + β ə ɣ a ð ə s	d̪ ə + β ə ɣ a ð ə s	k ɛ l k ə f w a	k ɛ l k ə f w a	k w a l k e + v o l t a	k w a l k e + v o l t a	ɪ n t ɛ r d ʊ̃	ɪ n t ɛ r d ʊ̃	- a ʃ + v e - - z ə ʃ	a ʃ + v e z ə ʃ	k ɨ t e o d a t ə	k ɨ t e o d a t ə	- a - + β e - - θ e s	a + β e θ e s
SON	f i ʎ - - -	f i ʎ	f i s - - -	f i s	f i ʎː - o -	f i ʎː o	f iː lˠ ɪ ʊ s	f iː lˠ ɪ ʊ s	f i ʎ - u -	f i ʎ u	f e tʃ j o r	f e tʃ j o r	j x o	j x o
SONG	k ə n s - o - -	k ə n s o	ʃ ɑ̃ s ɔ̃	ʃ ɑ̃ s ɔ̃	k a n ts - o n e	k a n ts o n e	k a r m ɛ n	k a r m ɛ n	k ɐ̃ s ɐ̃ w	k ɐ̃ s ɐ̃ w	k ɨ n t e k	k ɨ n t e k	k a n θ j o n -	k a n θ j o n
SOON	ə β i a t̪	ə β i a t̪	b j ɛ̃ t o	b j ɛ̃ t o	t r a + p o k o	t r a + p o k o	m ɔ k s	m ɔ k s	b r ɛ v ə	b r ɛ v ə	k u r ɨ n d	k u r ɨ n d	e n + β ɾ e β e	e n + β ɾ e β e
SOUND_(OF_INSTRUMENT_OR_VOICE)	s u - n a - -	s u n a	s ɔ - n e - -	s ɔ n e	s u o n a r e	s u o n a r e	s ɔ - n aː r ɛ	s ɔ n aː r ɛ	ʃ w a r	ʃ w a r	s u - n a - -	s u n a	s o - n a ɾ -	s o n a ɾ
SOUND_OR_NOISE	s ɔ	s ɔ	s ɔ̃	s ɔ̃	s u o n o - -	s u o n o	s ɔ - n ʊ s -	s ɔ n ʊ s	s õ	s õ	s u - n e t -	s u n e t	s o - n i ð o	s o n i ð o
SOUP	s ɔ p ə	s ɔ p ə	p ɔ t aː ʒ	p ɔ t aː ʒ	m i n e s t r a	m i n e s t r a	ɪ uː s	ɪ uː s	k a lˠ ð u	k a lˠ ð u	tʃ j o r b ə	tʃ j o r b ə	s o p a	s o p a
SOUR	a ɣ ɾ - ə	a ɣ ɾ ə	ɛː g ʁ - ə	ɛː g ʁ ə	a tʃ e r b o	a tʃ e r b o	a k ɪ d ʊ s	a k ɪ d ʊ s	ɐ z e ð u	ɐ z e ð u	a k r - u	a k r u	a ɣ ɾ j o	a ɣ ɾ j o
SOUTH	s u t̪	s u t̪	s y d	s y d	m e r i d i o n e	m e r i d i o n e	m ɛ r iː d ɪ eː s -	m ɛ r iː d ɪ eː s	s u lˠ	s u lˠ	m j a z ə zʲ	m j a z ə zʲ	s u ɾ	s u ɾ
SPACE_(AVAILABLE)	k ə β u ð ə	k ə β u ð ə	p l a s	p l a s	s p a ts i o	s p a ts i o	lˠ ɔ k ʊ s	lˠ ɔ k ʊ s	l u ɣ a r	l u ɣ a r	l o k - -	l o k	e s p a θ j o	e s p a θ j o
SPADE	p a lˠ ə	p a lˠ ə	b ɛ ʃ	b ɛ ʃ	v a ŋ g a	v a ŋ g a	p aː lˠ a	p aː lˠ a	p a	p a	h ɨ r l e ts	h ɨ r l e ts	p a l a	p a l a
SPARK	s - ə n̪ t̪ ɛ ʎ ə	s ə n̪ t̪ ɛ ʎ ə	e t ɛ̃ s ɛ l	e t ɛ̃ s ɛ l	ʃ - i n t i lː a	ʃ i n t i lː a	s k ɪ n t ɪ lː a	s k ɪ n t ɪ lː a	s - ẽ - t e ʎ a	s ẽ t e ʎ a	s k ɨ n t e j e	s k ɨ n t e j e	tʃ i s p a	tʃ i s p a
SPEAK	p ə ɾ lˠ - - a	p ə ɾ lˠ a	p a ʁ l - - e	p a ʁ l e	p a r l a r e	p a r l a r e	f aː r iː	f aː r iː	- f ɐ l a r	f ɐ l a r	v o r bʲ	v o r bʲ	a β - l a ɾ	a β l a ɾ
SPEECH	d̪ i s k u ɾ s -	d̪ i s k u ɾ s	d i s k uː ʁ - -	d i s k uː ʁ	d i s k o r z o	d i s k o r z o	oː r aː t ɪ oː	oː r aː t ɪ oː	d i ʃ k u r s u	d i ʃ k u r s u	d i s k u r s -	d i s k u r s	d i s k u ɾ s o	d i s k u ɾ s o
SPIDER	ə ɾ a ɲ - ə	ə ɾ a ɲ ə	a ʁ ɛ ɲ - e	a ʁ ɛ ɲ e	- r a ɲː - o	r a ɲː o	a r aː n ɛ a	a r aː n ɛ a	a r a ɲ - a	a r a ɲ a	p ə j a n ʒ e n	p ə j a n ʒ e n	a ɾ a ɲ - a	a ɾ a ɲ a
SPIRIT	ə s p ə ɾ i t̪ -	ə s p ə ɾ i t̪	ɛ s p - ʁ i - -	ɛ s p ʁ i	- s p i r i t o	s p i r i t o	a n ɪ m ʊ s	a n ɪ m ʊ s	i ʃ p i r i t u	i ʃ p i r i t u	s u f l e t	s u f l e t	e s p i ɾ i t u	e s p i ɾ i t u
SPOIL_(BECOME_SPOILED)	p u ð ɾ i ɾ z ə	p u ð ɾ i ɾ z ə	s ə p y t ʁ e f j e	s ə p y t ʁ e f j e	m a r tʃ i r e	m a r tʃ i r e	p uː t eː s k ɛ r ɛ	p uː t eː s k ɛ r ɛ	i ʃ t r a ɣ a r ʃ e	i ʃ t r a ɣ a r ʃ e	s e + ɨ m p u tsʲ	s e + ɨ m p u tsʲ	p u ð ɾ i ɾ s e	p u ð ɾ i ɾ s e
SPOIL_(SOMEBODY_OR_SOMETHING)	ə s p ə ʎː a	ə s p ə ʎː a	k ɔ ʁ ɔ̃ː - p - ʁ ə	k ɔ ʁ ɔ̃ː p ʁ ə	g u a s t a r e	g u a s t a r e	k ɔ rː ʊ m p ɛ r ɛ	k ɔ rː ʊ m p ɛ r ɛ	k o ʀ õ - p e r -	k o ʀ õ p e r	s t r i k a	s t r i k a	e s t ɾ o p e a ɾ	e s t ɾ o p e a ɾ
SPOON	k u - ʎ ɛ - ɾ ə	k u ʎ ɛ ɾ ə	k ɥ i j ɛː ʁ	k ɥ i j ɛː ʁ	k u kː j a i o	k u kː j a i o	k ɔ k lˠ ɛ a r -	k ɔ k lˠ ɛ a r	k u - ʎ e - r -	k u ʎ e r	l i n g u r ə	l i n g u r ə	k u tʃ - - a ɾ a	k u tʃ a ɾ a
SPREAD_OUT	u n̪ t̪ a -	u n̪ t̪ a	ɑ̃ p a t e	ɑ̃ p a t e	s p a l m a r e	s p a l m a r e	ɔ b lˠ ɪ n ɛ r ɛ	ɔ b lˠ ɪ n ɛ r ɛ	b a ʀ a r	b a ʀ a r	u n dʒ e -	u n dʒ e	ɾ e k u β ɾ i ɾ	ɾ e k u β ɾ i ɾ
SPRINGTIME	p ɾ i m ə β ɛ ɾ ə	p ɾ i m ə β ɛ ɾ ə	p ʁ ɛ̃ t ɑ̃	p ʁ ɛ̃ t ɑ̃	p r i m a v e r a	p r i m a v e r a	w eː r	w eː r	p r i m ɐ v ɛ r ɐ	p r i m ɐ v ɛ r ɐ	p r i m ə v a r ə	p r i m ə v a r ə	p ɾ i m a β e ɾ a	p ɾ i m a β e ɾ a
SPRING_(OF_WATER)	f ɔ n̪	f ɔ n̪	f ɔ̃ t ɛ n	f ɔ̃ t ɛ n	s o r dʒ e n t e	s o r dʒ e n t e	f õː s	f õː s	d õ t ə	d õ t ə	i z v o r	i z v o r	m a n a n t j a l	m a n a n t j a l
SQUIRREL	ə s k i ɾ ɔ lˠ	ə s k i ɾ ɔ lˠ	e k y ʁ œ j	e k y ʁ œ j	s k o i a tː o l o	s k o i a tː o l o	s k ɪ uː r ʊ s	s k ɪ uː r ʊ s	i ʃ k i l u	i ʃ k i l u	v e v e r i ts ə	v e v e r i ts ə	a ɾ ð i ʝ a	a ɾ ð i ʝ a
STAND	ə s t ə ɾ + d̪ ə + p - ɛ w	ə s t ə ɾ + d̪ ə + p ɛ w	ɛː t ʁ ə + d ə b u	ɛː t ʁ ə + d ə b u	s t a r e + i n + p i e d i	s t a r e + i n + p i e d i	s t aː r ɛ	s t aː r ɛ	i ʃ t a r ẽ p e	i ʃ t a r ẽ p e	s t a	s t a	e s t a ɾ + ð e + p j e -	e s t a ɾ + ð e + p j e
STAND_UP	ə ʃ ə k a ɾ z ə	ə ʃ ə k a ɾ z ə	s ə l ə v e	s ə l ə v e	a l ts a r z i	a l ts a r z i	s ʊ r g ɛ r ɛ	s ʊ r g ɛ r ɛ	l ə v ɐ̃ - t a r s ə	l ə v ɐ̃ t a r s ə	s e + r i d i k a	s e + r i d i k a	l e β a n t a ɾ s e	l e β a n t a ɾ s e
STAR	ə s t ɾ ɛ ʎ ə	ə s t ɾ ɛ ʎ ə	e - t w a l -	e t w a l	s t e lː a	s t e lː a	s t eː lː a	s t eː lː a	i ʃ t r ɛ l ɐ	i ʃ t r ɛ l ɐ	s t e - a	s t e a	e s t ɾ e ʝ a	e s t ɾ e ʝ a
STATE_(POLITICS)	ə s t a t̪ -	ə s t a t̪	e t a	e t a	- s t a t o	s t a t o	r eː s + p uː b lˠ ɪ k a	r eː s + p uː b lˠ ɪ k a	i ʃ t a ð u	i ʃ t a ð u	- s t a t -	s t a t	e s t a ð o	e s t a ð o
STEAL	r u β a - -	r u β a	v ɔ l e	v ɔ l e	r u b a r e	r u b a r e	f uː r - aː r iː	f uː r aː r iː	f u r t a r -	f u r t a r	f u r - a - -	f u r a	w - ɾ t a ɾ -	w ɾ t a ɾ
STEP_(VERB)	p ɾ u s ə ð i - -	p ɾ u s ə ð i	m a ʁ ʃ e	m a ʁ ʃ e	p r o tʃ e d e r e	p r o tʃ e d e r e	g r a d iː -	g r a d iː	k a m i ɲ a r	k a m i ɲ a r	p ə ʃʲ -	p ə ʃʲ	p ɾ o θ e ð e ɾ -	p ɾ o θ e ð e ɾ
STICK	p a - - lˠ -	p a lˠ	k a n	k a n	b a kː e tː a	b a kː e tː a	b a k ʊ lˠ ʊ̃	b a k ʊ lˠ ʊ̃	b ẽ g a l ɐ	b ẽ g a l ɐ	b a s t o n -	b a s t o n	b a s t o n -	b a s t o n
STILL_(CONTINUING)	ə ŋ k a ɾ ə	ə ŋ k a ɾ ə	ɑ̃ - k ɔː ʁ -	ɑ̃ k ɔː ʁ	a ŋ k o r a	a ŋ k o r a	ɛ t ɪ ã	ɛ t ɪ ã	ɐ ĩ d ɐ	ɐ ĩ d ɐ	ɨ n k ə	ɨ n k ə	t o ð a β i a	t o ð a β i a
STING	ə p u ɲ ə lˠ a	ə p u ɲ ə lˠ a	p i - k e - -	p i k e	p u n dʒ e r e	p u n dʒ e r e	p ʊ ŋ g ɛ r ɛ	p ʊ ŋ g ɛ r ɛ	p i - k a r -	p i k a r	ɨ m p u n dʒ e	ɨ m p u n dʒ e	p i n tʃ a ɾ -	p i n tʃ a ɾ
STINGY	ə β a	ə β a	a v aː ʁ - - -	a v aː ʁ	a v a r o - -	a v a r o	a w aː r ʊ s -	a w aː r ʊ s	ɐ v ɐ r ẽ t u	ɐ v ɐ r ẽ t u	z g ɨ r tʃ i t	z g ɨ r tʃ i t	a β a ɾ o - -	a β a ɾ o
STIR	r ə m ə n a	r ə m ə n a	ʁ ə m - ɥ e	ʁ ə m ɥ e	m e s k o l a r e	m e s k o l a r e	k ɔ mː ɔ w eː r ɛ	k ɔ mː ɔ w eː r ɛ	ʀ ə m ə ʃ e r -	ʀ ə m ə ʃ e r	m e s t e k a	m e s t e k a	ɾ e m o β e ɾ -	ɾ e m o β e ɾ
STOMACH	ə s t o m ə k - - -	ə s t o m ə k	ɛ s t ɔ m a - - - -	ɛ s t ɔ m a	- s t ɔ m a k - o -	s t ɔ m a k o	- s t ɔ m a k h ʊ s	s t ɔ m a k h ʊ s	i ʃ t o m ɐ ɣ - u -	i ʃ t o m ɐ ɣ u	- s t o m a k - - -	s t o m a k	e s t o m a ɣ - o -	e s t o m a ɣ o
STONE	p - ɛ - ð ɾ ə	p ɛ ð ɾ ə	p j ɛː - - ʁ -	p j ɛː ʁ	p - i e t r a	p i e t r a	lˠ a p ɪ s	lˠ a p ɪ s	p - ɛ - ð r ɐ	p ɛ ð r ɐ	p j a - t r ə	p j a t r ə	p j e - ð ɾ a	p j e ð ɾ a
STORY	n ə r ə s - i - o - -	n ə r ə s i o	n a ʁ ɑ s j - - ɔ̃ - -	n a ʁ ɑ s j ɔ̃	n a rː a ts - i - o n e	n a rː a ts i o n e	n aː rː aː t - ɪ - oː - -	n aː rː aː t ɪ oː	n a ʀ a t - i v a - -	n a ʀ a t i v a	p o v e s t e	p o v e s t e	n a r a θ j - - o n -	n a r a θ j o n
STOVE	ə s t u f ə	ə s t u f ə	p w a l	p w a l	- s t u f a	s t u f a	f ɔ r n aː k s	f ɔ r n aː k s	a k e s e ð o r	a k e s e ð o r	s o b ə	s o b ə	e s t u f a	e s t u f a
STRAP	k u r ɛ dʒ ə	k u r ɛ dʒ ə	k u ʁ - w a	k u ʁ w a	tʃ i ŋ g j a	tʃ i ŋ g j a	lˠ oː r ʊ̃	lˠ oː r ʊ̃	k o ʀ e j a	k o ʀ e j a	k u r e - a	k u r e a	k o r e - a	k o r e a
STREAM_(FLOW_CONTINUOUSLY)	ə f lˠ - u j	ə f lˠ u j	a f l ɥ e -	a f l ɥ e	f l u i r e	f l u i r e	f lˠ ʊ ɛ r ɛ	f lˠ ʊ ɛ r ɛ	k u ʀ e r	k u ʀ e r	k u r dʒ e + ɨ n + ʃ i r o a j e	k u r dʒ e + ɨ n + ʃ i r o a j e	a f l w i ɾ	a f l w i ɾ
STRENGTH	β i ɣ ɔ - - -	β i ɣ ɔ	v i g œː - ʁ -	v i g œː ʁ	f - o r t e t ts a	f o r t e t ts a	r oː b ʊ r	r oː b ʊ r	f - o r s - - - ɐ	f o r s ɐ	v i g o a r e	v i g o a r e	f w e ɾ θ - - - a	f w e ɾ θ a
STRIKE_(SOMEONE)	k u lˠ p ə ʒ a -	k u lˠ p ə ʒ a	f ʁ a p e	f ʁ a p e	b a tː e r e	b a tː e r e	f ɛ r iː r ɛ	f ɛ r iː r ɛ	b ɐ t e r -	b ɐ t e r	l o vʲ	l o vʲ	g o l p e - a ɾ	g o l p e a ɾ
STRIKE_(SOMETHING)	k u lˠ p ə ʒ a	k u lˠ p ə ʒ a	f ʁ a p e	f ʁ a p e	p i kː j a r e	p i kː j a r e	f ɛ r iː r ɛ	f ɛ r iː r ɛ	b ɐ t - e r -	b ɐ t e r	l o vʲ	l o vʲ	p e ɣ - a ɾ -	p e ɣ a ɾ
STRING	k - ɔ ɾ ð ə -	k ɔ ɾ ð ə	f i s ɛ l	f i s ɛ l	k - o r d a -	k o r d a	l iː n ʊ̃	l iː n ʊ̃	k - o r ð e lˠ	k o r ð e lˠ	s f o a r ə	s f o a r ə	k w e ɾ ð a -	k w e ɾ ð a
STROKE_(OF_PEN)	r a ʎː ə	r a ʎː ə	t ʁ ɛ - -	t ʁ ɛ	t r a tː o	t r a tː o	l iː n ɛ aː m ɛ n t ʊ̃	l iː n ɛ aː m ɛ n t ʊ̃	t r a s u	t r a s u	t r ə s ə t u r ə	t r ə s ə t u r ə	t ɾ a θ o	t ɾ a θ o
STRONG	f - ɔ ɾ - -	f ɔ ɾ	p ɥ i s ɑ̃	p ɥ i s ɑ̃	v i g o r o z o	v i g o r o z o	w a lˠ ɪ d ʊ s	w a lˠ ɪ d ʊ s	r o β u ʃ t u	r o β u ʃ t u	p u t e r n i k	p u t e r n i k	b i ɣ o ɾ o s o	b i ɣ o ɾ o s o
STUPID	ə s t u p i t̪ - -	ə s t u p i t̪	b ɛː t	b ɛː t	- s t u p i d o -	s t u p i d o	- s t ʊ p ɪ d ʊ s	s t ʊ p ɪ d ʊ s	i ʃ t u p i ð u -	i ʃ t u p i ð u	t ɨ m p i t	t ɨ m p i t	e s t u p i ð o -	e s t u p i ð o
SUCCEED	s u ɾ t̪ i ɾ + b e	s u ɾ t̪ i ɾ + b e	ʁ e y s iː ʁ -	ʁ e y s iː ʁ	r i u ʃː i r e	r i u ʃː i r e	k ɔ n t ɪ ŋ g ɛ r ɛ	k ɔ n t ɪ ŋ g ɛ r ɛ	d a r β o m r e z u lˠ t a ð u	d a r β o m r e z u lˠ t a ð u	i z b u tʲ	i z b u tʲ	s a l i ɾ + β j e n	s a l i ɾ + β j e n
SUDDENLY	d̪ ə + s ɔ p t̪ ə	d̪ ə + s ɔ p t̪ ə	t u t a k u	t u t a k u	a lː i m p r o vː i z o	a lː i m p r o vː i z o	- - - r ɛ p ɛ n t ɛ	r ɛ p ɛ n t ɛ	d e r e p ẽ t e	d e r e p ẽ t e	p e + n e a ʃ t e p t a t e	p e + n e a ʃ t e p t a t e	d e + ɾ e p e n t e	d e + ɾ e p e n t e
SUMMER	ə s t i w	ə s t i w	e t e	e t e	e s t a t e	e s t a t e	a ɛ s t aː s	a ɛ s t aː s	v ə r ɐ̃ w	v ə r ɐ̃ w	v a r ə	v a r ə	b e ɾ a n o	b e ɾ a n o
SUMMIT	s i m -	s i m	s ɔ m ɛ	s ɔ m ɛ	tʃ i m a	tʃ i m a	w ɛ r t ɛ k s	w ɛ r t ɛ k s	p i k u	p i k u	p i s k	p i s k	k u m b ɾ e	k u m b ɾ e
SUN	s ɔ lˠ -	s ɔ lˠ	s ɔ l ɛ j	s ɔ l ɛ j	s o l e	s o l e	s oː lˠ -	s oː lˠ	s ɔ lˠ -	s ɔ lˠ	s o a r e	s o a r e	s o l -	s o l
SUNDAY	d̪ i w m ɛ ɲ ʒ ə	d̪ i w m ɛ ɲ ʒ ə	d i - m ɑ̃ː - ʃ -	d i m ɑ̃ː ʃ	d o m e n i k a -	d o m e n i k a	d ɪ eː s + s oː lˠ ɪ s	d ɪ eː s + s oː lˠ ɪ s	d u m ĩ - - g u -	d u m ĩ g u	d u m i n i k ə -	d u m i n i k ə	d o m i ŋ - g o -	d o m i ŋ g o
SUPPORT_(OF_OBJECT)	s u p ɔ ɾ - -	s u p ɔ ɾ	s u t j ɛ̃	s u t j ɛ̃	s u pː o r t o	s u pː o r t o	a d m ɪ n ɪ k ʊ lˠ ʊ̃	a d m ɪ n ɪ k ʊ lˠ ʊ̃	ʃ u p o r t e	ʃ u p o r t e	p r o p t e a	p r o p t e a	s o p o ɾ t e	s o p o ɾ t e
SWALLOW	ə m p ə s a ɾ z ə	ə m p ə s a ɾ z ə	a v a l e	a v a l e	i ŋ g j o tː i r e	i ŋ g j o tː i r e	d eː w ɔ r aː r ɛ	d eː w ɔ r aː r ɛ	ẽ g u l i r	ẽ g u l i r	ɨ n g i tsʲ	ɨ n g i tsʲ	t ɾ a ɣ a ɾ	t ɾ a ɣ a ɾ
SWAMP	p ə n̪ t̪ - - a	p ə n̪ t̪ a	m a ʁ e k aː ʒ	m a ʁ e k aː ʒ	p a l u d e	p a l u d e	p a lˠ uː s -	p a lˠ uː s	p ã - t a n u	p ã t a n u	m l a ʃ t i n ə	m l a ʃ t i n ə	p a n t a n o	p a n t a n o
SWAN	s i ŋ n ə	s i ŋ n ə	s i - ŋ -	s i ŋ	tʃ i ɲː o	tʃ i ɲː o	k ɪ k n ʊ s	k ɪ k n ʊ s	s i ʃ n e	s i ʃ n e	l e b ə d ə	l e b ə d ə	θ i z n e	θ i z n e
SWARM_(OF_BIRDS)	b ə n ð a ð ə	b ə n ð a ð ə	v ɔ l e	v ɔ l e	s t o r m o	s t o r m o	ɛ k s aː m ɛ n	ɛ k s aː m ɛ n	ẽ ʃ ɐ m ə	ẽ ʃ ɐ m ə	k ɨ r d	k ɨ r d	b a n d a ð a	b a n d a ð a
